title,channel,url,duration_sec,views,relevance_score,relevance_notes,batch
"Claude Cowork: a small taste of AGI","Theo - t3․gg","https://www.youtube.com/watch?v=IcQEaopx90g",1973,72583,4,"Technical perspective on 'why' - valuable for understanding potential, but dev-focused. Not pure tutorial.",1
"5 INSANE Claude Cowork Use Cases!","Julian Goldie SEO","https://www.youtube.com/watch?v=XgDNBSkFTkI",734,2139,5,"Perfect. 5 concrete use cases with timestamps: Desktop File Organization, Branded Google Slides, Social Media Video Automation, Browser Workflows, Data Fetching. Non-coding focus.",1
"Is Google's Gemini Winning?, Thinking Machines Drama, Claude Cowork's Potential","Alex Kantrowitz","https://www.youtube.com/watch?v=ugV4vz4R3kc",3107,6976,2,"Podcast discussing AI news - Cowork is ONE topic among many. Low tutorial value.",1
"Claude „Cowork" ist völlig krank! Neuer ChatGPT „Übersetzer", Apple integriert Gemini & mehr KI-News","Everlast AI","https://www.youtube.com/watch?v=ID9yuqngnnw",2250,39598,2,"German AI news roundup. Includes 'Claude Cowork Test' segment but mixed with unrelated topics (timestamps 04:24-13:37). Not primary tutorial.",1
"Introducing Cowork: Claude Code for the rest of your work","Anthropic","https://www.youtube.com/watch?v=UAmKyyZ-b9E",69,217456,5,"Official 1-minute intro from Anthropic. Must-have for understanding positioning and core value prop.",1
"The new Claude Cowork in 8 Minutes","Tool Finder","https://www.youtube.com/watch?v=I7p77eJZIBI",489,13195,4,"Quick 8-minute walkthrough. Concise overview - good for fast understanding but less depth than longer tutorials.",1
"Master 99% of Claude Cowork in 26 Minutes (No Code)","Brock Mesarich | AI for Non Techies","https://www.youtube.com/watch?v=EPfnhyjn78E",1573,5287,5,"Comprehensive 26-min tutorial for non-techies. Covers: MCP, skills, browser control, multiple agents. Extremely relevant.",1
"Claude Cowork: Claude Code for normies","A Better Computer","https://www.youtube.com/watch?v=5NYdj9wjAco",364,6270,3,"Short take (6 min). Brief perspective - 'novelty or something big?' Less comprehensive but may have unique angle.",1
"Claude Cowork Just Did 7 Days of Work in 15 Minutes","Marketing Against the Grain","https://www.youtube.com/watch?v=xRdlmFBtGn0",932,18960,5,"Real use case: 2 months → 2 hours. Demo of presentation creation. Strong business value prop from HubSpot CMO. Excellent for 'why' narrative.",1
"First Look: Claude Cowork Is the Real Deal","Matt Maher","https://www.youtube.com/watch?v=GIIMpc3M8Hw",949,25243,5,"TWO detailed real demos: (1) Mythology notes → study guide + illustrations, (2) Sales CSV → personalized emails. Concrete step-by-step walkthrough.",1
"FINALLY! AI-assisted Document Organization with Claude Cowork","Tom at Paperless Movement","https://www.youtube.com/watch?v=6A7d6Am5mck",1097,1656,5,"Document organization use case. Step-by-step: organizing documents, advanced features, real-time processing. Timestamps show concrete workflow.",2
"I tested Claude Cowork for 24 hours - here's what actually works","No Code MBA","https://www.youtube.com/watch?v=KqfTQfklbYU",800,882,5,"24-hour deep dive. Real use cases: daily planning, website analysis, spreadsheets/CRMs. Features: Skills, Chrome extension, limitations. Very comprehensive.",2
"8 Insane Claude Cowork Use Cases! (endless possibilities)","Samin Yasar","https://www.youtube.com/watch?v=xcHyfiMItCM",890,32751,5,"8 timestamped use cases: file org, slides, video automation, browser workflows, data fetching, image gen, skills, CRM/admin. Extremely practical.",2
"Claude Cowork Lightning Demo for Business Users","Allie K Miller","https://www.youtube.com/watch?v=_nH1fc9HBSA",1589,5264,5,"Business user perspective. Detailed explanation of capabilities + personal take on UI/UX. Covers practical use: downloads→organized, receipts→spreadsheet, notes→reports.",2
"Claude Cowork Hands-On Testing – An AI Agent for Your Computer!","Bijan Bowen","https://www.youtube.com/watch?v=XDQ_J0f50sg",1513,11334,5,"Extensive hands-on tests: file org, spreadsheet creation, code tutor, audio/image analysis, legal reports, ebook. Wide range of practical workflows.",2
"Claude Cowork in 30 Minutes (Free Course)","Alex McFarland","https://www.youtube.com/watch?v=c8a1Ve7yUpY",1602,2526,5,"30-min course for content creators/marketers. 3 real use cases: landing page from videos, content repurposing, Substack analytics scraping. Skills installation.",2
"Isso NÃO é um Chat: A IA agora controla seu computador (Claude Cowork)","Karine Lago","https://www.youtube.com/watch?v=KNCQQARIL8o",623,5908,4,"Portuguese tutorial. Practical demos: downloads org, receipt→spreadsheet, file renaming, YouTube Analytics. Good use cases but language barrier.",2
"Claude Cowork: Anthropic's AI Operating System That Automates Your Life!","WorldofAI","https://www.youtube.com/watch?v=TVPxU8MfeXY",516,34904,4,"Overview of capabilities + 'why AI OS' narrative. Mentions real demos (folders, screenshots, docs, FFmpeg) but more conceptual than step-by-step tutorial.",2
"Claude Cowork full review: overhyped or about to change everything?","No Code MBA","https://www.youtube.com/watch?v=VJLG2I_DqIU",1444,1809,5,"Full review with real workflow test: 2026 planning doc → Markdown → Q1 plan → landing page → PDF. Shows complete process from scratch.",2
"Claude Cowork: from beginner to expert in 18 minutes","Alex Finn","https://www.youtube.com/watch?v=Bwqy0lsEaEg",1108,27281,5,"18-min full guide with 4 real prompts: organize images, create media kit, track subscriptions, app idea research. Very practical.",3
"Claude Cowork is Here! Full Breakdown + Testing","The AI Advantage","https://www.youtube.com/watch?v=BWAr7gTkll8",659,49236,4,"Full breakdown + testing from popular AI channel. Good overview but less detailed than longer tutorials.",3
"Create a Local Claude Cowork with Open Models","Alejandro AO","https://www.youtube.com/watch?v=XfHpKij9Evw",962,1555,2,"Technical tutorial about building LOCAL alternative. Not about using Claude Cowork itself - dev/privacy focus.",3
"Quick Guide to Claude Cowork","Tim Warner","https://www.youtube.com/watch?v=vz6y5BaUQsc",860,56,5,"2 real demos: YouTube metadata→social posts, Azure deck→2026 presentation. Strong real-world use cases despite low views.",3
"Why Claude Cowork is a Big Deal","The AI Daily Brief: Artificial Intelligence News","https://www.youtube.com/watch?v=mJWi_koYY70",1447,10997,3,"News analysis - implications, market reactions. More 'why it matters' than 'how to use'.",3
"Anthropic just dropped Claude Cowork... (SO GOOD)","Matthew Berman","https://www.youtube.com/watch?v=lQ0mtbFxzn8",414,66397,3,"7-min quick reaction/overview from major AI YouTuber. High views but brief - less tutorial depth.",3
"Claude Cowork in 2 Minutes","Anthony Sistilli","https://www.youtube.com/watch?v=XvbAkEWcBvw",106,5967,2,"2-minute explainer. Too brief for meaningful use cases.",3
"NEW Claude Cowork Is Claude Code for Anyone (Finally)","Brock Mesarich | AI for Non Techies","https://www.youtube.com/watch?v=PDLEvQ2_4Mg",399,2367,3,"Short intro/explainer (6 min). Explains what it is + why important but limited hands-on demos.",3
"I Tried Claude Cowork as a Non-Coder (Honest Review)","Terence | AI for Non-Coders","https://www.youtube.com/watch?v=dEe7R5HAMc4",1366,256,5,"Honest non-coder review. Tests: file org, trip planning, client proposals, PM tickets. Compares to Claude Code. Very practical perspective.",3
"Vibe Check: Claude Cowork Is Claude Code for the Rest of Us","Every","https://www.youtube.com/watch?v=oPBN-QIfLaY",5564,4863,5,"92-min deep dive with Anthropic engineer Felix Rieseberg! Design philosophy, live testing, Skills, agent-native architecture. Rare insider perspective.",3
"Claude Cowork Just Hit $20--So I Asked It To Use ChatGPT","Pocketful of AI","https://www.youtube.com/watch?v=Z76aNeqrs8Q",1193,915,5,"Creative test: recipes from screenshots, expense parsing, Claude using ChatGPT via Chrome. Real problems with honest results.",3
"Task Queues Are Replacing Chat Interfaces. Here's Why (plus a Claude Cowork Demo)","AI News & Strategy Daily | Nate B Jones","https://www.youtube.com/watch?v=h7dbkDcb3hA",1938,154803,5,"32-min strategy analysis: why file agents beat browser agents, anti-slop architecture, task queues vs chat. Deep 'why' + live demo.",3
"J'ai passé 48h à tester Claude Cowork - Voici le résultat","Shubham SHARMA","https://www.youtube.com/watch?v=tZIYB_ffS9g",1923,10355,4,"French 48-hour test. 7 use cases: file org, LinkedIn audit, slides, invoices, video→lead magnet, emails, playlists. Good but language barrier.",3
"Claude Cowork first impression vs Claude Code: Cowork DELETED 11GB of files!?","James McAulay","https://www.youtube.com/watch?v=_6C9nMvQsGU",749,8717,4,"Cautionary tale! Cowork ran rm-rf and deleted 11GB. Real comparison Cowork vs Code. Important for understanding risks/limitations.",3
"Claude's New Cowork Feature is INSANE 👀 (Automate Anything You Can Think Of)","Rob The AI Guy","https://www.youtube.com/watch?v=sRlIteXi1Uw",867,4661,3,"Promotional/hype video. Shows capabilities but less step-by-step tutorial, more 'sign up for course' vibe.",3
"Claude Cowork analysis & Apple picks Gemini","IBM Technology","https://www.youtube.com/watch?v=ym8GvNQBqA0",2499,5064,2,"41-min podcast. Cowork is one topic (01:17-13:25). Also covers Apple-Google deal, Linus/vibe coding. Low Cowork focus.",3
"Claude Cowork replaces your AI tech stack (full demo)","David Ondrej","https://www.youtube.com/watch?v=4uZ4dpwbGcY",1362,13880,4,"Full demo positioning Cowork as tech stack replacement. Good practical angle but less detailed than top tutorials.",3
"Claude Code Was Too Complicated. Then Anthropic Released Cowork","Nico | AI Ranking","https://www.youtube.com/watch?v=SNkdOT_nl8o",361,1468,5,"6-min focused demos: bank statements→Excel, GA4+Search Console→SEO report. MCP connectors shown. Concise and practical.",3
